State,Arrival_Date,Min Price,Max Price,Modal Price
Chattisgarh,2018-01-02,2000.0,3000.0,2500.0
Chattisgarh,2018-01-03,2200.0,2800.0,2500.0
Chattisgarh,2018-01-04,2500.0,3000.0,2750.0
Chattisgarh,2018-01-05,2800.0,3000.0,2900.0
Chattisgarh,2018-01-06,2000.0,2200.0,2100.0
Chattisgarh,2018-01-07,2000.0,2500.0,2250.0
Chattisgarh,2018-02-02,1500.0,2000.0,1750.0
Chattisgarh,2018-02-05,2700.0,2900.0,2800.0
Chattisgarh,2018-02-06,2200.0,2600.0,2400.0
Chattisgarh,2018-02-08,2000.0,4000.0,3000.0
Chattisgarh,2018-02-10,4000.0,6000.0,5000.0
Chattisgarh,2018-02-14,1500.0,3500.0,2500.0
Chattisgarh,2018-02-15,2200.0,2500.0,2350.0
Chattisgarh,2018-02-16,1500.0,2500.0,2000.0
Chattisgarh,2018-02-17,1500.0,3000.0,2250.0
Chattisgarh,2018-02-18,1500.0,2500.0,2000.0
Chattisgarh,2018-02-20,2000.0,2500.0,2250.0
Chattisgarh,2018-02-24,3000.0,3200.0,3100.0
Chattisgarh,2018-02-25,3000.0,3200.0,3100.0
Chattisgarh,2018-02-27,3000.0,3500.0,3250.0
Chattisgarh,2018-02-28,2500.0,3000.0,2750.0
Chattisgarh,2018-03-02,1500.0,2000.0,1750.0
Chattisgarh,2018-03-05,2500.0,2700.0,2600.0
Chattisgarh,2018-03-07,2000.0,3000.0,2500.0
Chattisgarh,2018-03-13,1000.0,1500.0,1250.0
Chattisgarh,2018-03-14,1200.0,1500.0,1350.0
Chattisgarh,2018-03-15,3000.0,3500.0,3250.0
Chattisgarh,2018-03-16,2500.0,3000.0,2750.0
Chattisgarh,2018-03-18,4000.0,4500.0,4250.0
Chattisgarh,2018-03-20,1000.0,1500.0,1250.0
Chattisgarh,2018-03-21,1200.0,1500.0,1350.0
Chattisgarh,2018-03-22,1000.0,1500.0,1250.0
Chattisgarh,2018-03-23,1500.0,2000.0,1750.0
Chattisgarh,2018-03-24,2200.0,2500.0,2350.0
Chattisgarh,2018-03-25,2000.0,2500.0,2250.0
Chattisgarh,2018-03-27,2500.0,3000.0,2750.0
Chattisgarh,2018-03-28,600.0,800.0,700.0
Chattisgarh,2018-04-02,1500.0,3000.0,2250.0
Chattisgarh,2018-04-03,2500.0,3000.0,2750.0
Chattisgarh,2018-04-04,3000.0,3500.0,3250.0
Chattisgarh,2018-04-05,2600.0,2800.0,2700.0
Chattisgarh,2018-04-07,2500.0,3000.0,2750.0
Chattisgarh,2018-04-09,4000.0,6000.0,5000.0
Chattisgarh,2018-04-10,4000.0,6000.0,5000.0
Chattisgarh,2018-04-26,1800.0,2000.0,1900.0
Chattisgarh,2018-04-28,1800.0,2000.0,1900.0
Chattisgarh,2018-05-08,2500.0,3000.0,2750.0
Chattisgarh,2018-05-13,1700.0,1900.0,1800.0
Chattisgarh,2018-05-15,1500.0,2000.0,1750.0
Chattisgarh,2018-05-16,1400.0,1600.0,1500.0
Chattisgarh,2018-05-17,1000.0,1500.0,1250.0
Chattisgarh,2018-05-18,1600.0,1800.0,1700.0
Chattisgarh,2018-05-19,2200.0,2600.0,2400.0
Chattisgarh,2018-05-20,1800.0,2200.0,2000.0
Chattisgarh,2018-05-22,1600.0,1800.0,1700.0
Chattisgarh,2018-05-23,1500.0,2000.0,1750.0
Chattisgarh,2018-05-24,1800.0,2200.0,2000.0
Chattisgarh,2018-05-25,1800.0,2000.0,1900.0
Chattisgarh,2018-05-26,1800.0,2200.0,2000.0
Chattisgarh,2018-05-27,1800.0,2000.0,1900.0
Chattisgarh,2018-05-29,2000.0,2200.0,2100.0
Chattisgarh,2018-05-30,2000.0,2500.0,2250.0
Chattisgarh,2018-05-31,2200.0,2600.0,2400.0
Chattisgarh,2018-06-02,2000.0,3000.0,2500.0
Chattisgarh,2018-06-05,2500.0,2700.0,2600.0
Chattisgarh,2018-06-06,2200.0,2600.0,2400.0
Chattisgarh,2018-06-09,7000.0,8000.0,7500.0
Chattisgarh,2018-06-10,3000.0,3500.0,3250.0
Chattisgarh,2018-06-13,2000.0,2200.0,2100.0
Chattisgarh,2018-06-14,2000.0,2200.0,2100.0
Chattisgarh,2018-06-15,1800.0,2200.0,2000.0
Chattisgarh,2018-06-17,1500.0,2000.0,1750.0
Chattisgarh,2018-06-19,1500.0,1700.0,1600.0
Chattisgarh,2018-06-20,1500.0,2000.0,1750.0
Chattisgarh,2018-06-21,2000.0,2200.0,2100.0
Chattisgarh,2018-06-22,2000.0,2500.0,2250.0
Chattisgarh,2018-06-24,2000.0,2500.0,2250.0
Chattisgarh,2018-06-26,2000.0,2200.0,2100.0
Chattisgarh,2018-06-27,2000.0,2500.0,2250.0
Chattisgarh,2018-06-28,2200.0,2600.0,2400.0
Chattisgarh,2018-06-29,2000.0,2500.0,2250.0
Chattisgarh,2018-06-30,2200.0,2600.0,2400.0
Chattisgarh,2018-07-02,2500.0,3000.0,2750.0
Chattisgarh,2018-07-06,2200.0,2400.0,2300.0
Chattisgarh,2018-07-07,3000.0,3200.0,3100.0
Chattisgarh,2018-07-10,3200.0,3600.0,3400.0
Chattisgarh,2018-07-13,2800.0,3000.0,2900.0
Chattisgarh,2018-07-14,3000.0,3200.0,3100.0
Chattisgarh,2018-07-15,2800.0,3200.0,3000.0
Chattisgarh,2018-07-17,2500.0,3000.0,2750.0
Chattisgarh,2018-07-18,2200.0,2600.0,2400.0
Chattisgarh,2018-07-19,3000.0,3200.0,3100.0
Chattisgarh,2018-07-21,3500.0,4000.0,3750.0
Chattisgarh,2018-07-26,3000.0,3500.0,3250.0
Chattisgarh,2018-07-27,3200.0,3600.0,3400.0
Chattisgarh,2018-07-29,2500.0,3500.0,3000.0
Chattisgarh,2018-07-31,3000.0,3500.0,3250.0
Chattisgarh,2018-08-02,2000.0,3000.0,2500.0
Chattisgarh,2018-08-04,3500.0,4000.0,3750.0
Chattisgarh,2018-08-06,2000.0,2200.0,2100.0
Chattisgarh,2018-08-07,3000.0,3500.0,3250.0
Chattisgarh,2018-08-08,4500.0,5000.0,4750.0
Chattisgarh,2018-08-14,3000.0,4000.0,3500.0
Chattisgarh,2018-08-18,3500.0,4000.0,3750.0
Chattisgarh,2018-08-19,3500.0,4000.0,3750.0
Chattisgarh,2018-08-21,3000.0,4000.0,3500.0
Chattisgarh,2018-08-23,3500.0,4000.0,3750.0
Chattisgarh,2018-08-24,4000.0,6000.0,5000.0
Chattisgarh,2018-08-28,4000.0,8000.0,6000.0
Chattisgarh,2018-08-30,3000.0,5000.0,4000.0
Chattisgarh,2018-08-31,6000.0,7000.0,6500.0
Chattisgarh,2018-09-02,1500.0,2000.0,1750.0
Chattisgarh,2018-09-03,2000.0,2500.0,2250.0
Chattisgarh,2018-09-05,2500.0,3000.0,2750.0
Chattisgarh,2018-09-06,1800.0,2200.0,2000.0
Chattisgarh,2018-09-08,2200.0,2600.0,2400.0
Chattisgarh,2018-09-10,3000.0,3500.0,3250.0
Chattisgarh,2018-09-13,5000.0,7000.0,6000.0
Chattisgarh,2018-09-14,6000.0,8000.0,7000.0
Chattisgarh,2018-09-16,6000.0,8000.0,7000.0
Chattisgarh,2018-09-18,5000.0,7000.0,6000.0
Chattisgarh,2018-09-19,5000.0,5500.0,5250.0
Chattisgarh,2018-09-27,4000.0,5000.0,4500.0
Chattisgarh,2018-09-30,4000.0,5000.0,4500.0
Chattisgarh,2018-10-02,1000.0,1500.0,1250.0
Chattisgarh,2018-10-04,3000.0,3500.0,3250.0
Chattisgarh,2018-10-05,2000.0,2500.0,2250.0
Chattisgarh,2018-10-07,3200.0,3600.0,3400.0
Chattisgarh,2018-10-08,3000.0,5000.0,4000.0
Chattisgarh,2018-10-13,3500.0,4000.0,3750.0
Chattisgarh,2018-10-14,3000.0,3500.0,3250.0
Chattisgarh,2018-10-17,2500.0,3000.0,2750.0
Chattisgarh,2018-10-19,2800.0,3000.0,2900.0
Chattisgarh,2018-10-21,2800.0,3000.0,2900.0
Chattisgarh,2018-10-26,1800.0,2200.0,2000.0
Chattisgarh,2018-10-28,1800.0,2200.0,2000.0
Chattisgarh,2018-10-31,4000.0,4500.0,4250.0
Chattisgarh,2018-11-02,1000.0,2000.0,1500.0
Chattisgarh,2018-11-03,1000.0,1500.0,1250.0
Chattisgarh,2018-11-05,2000.0,2200.0,2100.0
Chattisgarh,2018-11-06,2000.0,2200.0,2100.0
Chattisgarh,2018-11-07,2500.0,3000.0,2750.0
Chattisgarh,2018-11-08,3500.0,4000.0,3750.0
Chattisgarh,2018-11-09,7000.0,8000.0,7500.0
Chattisgarh,2018-12-05,1500.0,2000.0,1750.0
Chattisgarh,2018-12-06,2000.0,2500.0,2250.0
Gujarat,2018-01-01,3990.0,5497.0,4205.0
Gujarat,2018-01-02,4005.0,4489.0,4240.0
Gujarat,2018-01-03,4000.0,6000.0,5000.0
Gujarat,2018-01-04,2583.3333333333335,3680.0,3150.0
Gujarat,2018-01-05,1635.7142857142858,2323.5714285714284,2040.357142857143
Gujarat,2018-01-06,2064.285714285714,2778.5714285714284,2439.285714285714
Gujarat,2018-01-07,2750.0,4000.0,3387.5
Gujarat,2018-01-08,3120.4545454545455,3804.5454545454545,3487.4545454545455
Gujarat,2018-01-09,3409.375,4543.75,4009.25
Gujarat,2018-01-10,1403.8461538461538,1986.5384615384614,1734.6153846153845
Gujarat,2018-01-11,2225.0,2850.0,2625.0
Gujarat,2018-01-13,4666.666666666667,5901.666666666667,5133.333333333333
Gujarat,2018-01-15,3500.0,3812.5,3667.5
Gujarat,2018-01-16,4583.333333333333,5235.0,4860.0
Gujarat,2018-01-17,4422.0,5539.0,4988.0
Gujarat,2018-01-18,5402.0,6128.0,5782.0
Gujarat,2018-01-19,4580.0,5627.0,5115.0
Gujarat,2018-01-20,5083.333333333333,5709.166666666667,5402.5
Gujarat,2018-01-21,4850.0,6550.0,5700.0
Gujarat,2018-01-22,4180.0,5155.0,4670.0
Gujarat,2018-01-23,3945.8333333333335,4754.166666666667,4352.0
Gujarat,2018-01-24,4508.333333333333,5295.0,4918.666666666667
Gujarat,2018-01-25,4854.166666666667,5541.666666666667,5212.5
Gujarat,2018-01-26,5250.0,6000.0,5525.0
Gujarat,2018-01-27,4040.0,5352.5,4735.5
Gujarat,2018-01-28,4500.0,6000.0,5275.0
Gujarat,2018-01-29,4445.833333333333,5073.333333333333,4774.833333333333
Gujarat,2018-01-30,4041.875,5345.0,4667.125
Gujarat,2018-01-31,4543.0,4896.0,4709.4
Gujarat,2018-02-01,5001.666666666667,5590.833333333333,5311.666666666667
Gujarat,2018-02-02,3417.5,5275.833333333333,4442.5
Gujarat,2018-02-04,3510.0,4252.0,3810.0
Gujarat,2018-02-05,1312.5,2106.25,1717.6666666666667
Gujarat,2018-02-06,1837.5,2275.0,2106.25
Gujarat,2018-02-07,2800.0,4160.0,3580.0
Gujarat,2018-02-08,3231.25,3914.1666666666665,3576.1666666666665
Gujarat,2018-02-09,2500.0,4000.0,3300.0
Gujarat,2018-02-10,1341.6666666666667,1927.5,1707.5
Gujarat,2018-02-11,2006.0,2940.0,2520.4
Gujarat,2018-02-13,5666.666666666667,6166.666666666667,5933.333333333333
Gujarat,2018-02-14,4000.0,4822.5,4437.5
Gujarat,2018-02-15,4075.0,4152.5,4110.0
Gujarat,2018-02-16,4155.833333333333,4515.833333333333,4352.333333333333
Gujarat,2018-02-17,4856.25,5687.5,5275.0
Gujarat,2018-02-18,5166.666666666667,6500.0,5850.0
Gujarat,2018-02-19,4335.0,5673.0,5010.0
Gujarat,2018-02-20,4364.166666666667,5675.833333333333,5042.333333333333
Gujarat,2018-02-21,3740.0,5276.0,4510.0
Gujarat,2018-02-22,3493.75,3660.0,3571.25
Gujarat,2018-02-23,3940.0,4804.0,4382.4
Gujarat,2018-02-24,4762.5,6175.0,5487.5
Gujarat,2018-02-25,5333.333333333333,6333.333333333333,5850.0
Gujarat,2018-02-26,5052.0,5972.0,5526.0
Gujarat,2018-02-27,4316.666666666667,5666.666666666667,5004.0
Gujarat,2018-02-28,4437.5,5175.0,4805.0
Gujarat,2018-03-01,4580.833333333333,5797.5,5213.333333333333
Gujarat,2018-03-02,4621.428571428572,5212.142857142857,4965.714285714285
Gujarat,2018-03-03,5000.0,6833.333333333333,5916.666666666667
Gujarat,2018-03-04,3510.0,4490.0,4000.0
Gujarat,2018-03-05,1500.0,2096.153846153846,1803.4615384615386
Gujarat,2018-03-06,1900.0,2333.3333333333335,2125.0
Gujarat,2018-03-07,2940.0,3813.3333333333335,3404.3333333333335
Gujarat,2018-03-08,3481.818181818182,4297.727272727273,3892.0
Gujarat,2018-03-09,3067.5,3692.5,3392.5
Gujarat,2018-03-10,1710.2941176470588,2260.294117647059,2042.6470588235295
Gujarat,2018-03-11,2722.5,3673.3333333333335,3214.5
Gujarat,2018-03-13,3920.0,5338.75,4607.5
Gujarat,2018-03-14,4000.0,5135.714285714285,4627.142857142857
Gujarat,2018-03-15,4281.25,5312.5,4843.75
Gujarat,2018-03-16,4971.428571428572,5628.571428571428,5307.142857142857
Gujarat,2018-03-17,4066.6666666666665,5136.666666666667,4601.333333333333
Gujarat,2018-03-18,2505.0,5635.0,4070.0
Gujarat,2018-03-19,3391.6666666666665,5112.5,4264.166666666667
Gujarat,2018-03-20,3505.714285714286,4836.428571428572,4175.0
Gujarat,2018-03-21,3225.8333333333335,4835.0,4035.6666666666665
Gujarat,2018-03-22,3642.8571428571427,4542.857142857143,4096.428571428572
Gujarat,2018-03-23,3475.0,4600.0,4041.5
Gujarat,2018-03-24,3500.0,4666.666666666667,4091.6666666666665
Gujarat,2018-03-26,4750.0,5750.0,5250.0
Gujarat,2018-03-27,3902.5,5375.0,4638.5
Gujarat,2018-03-28,3000.0,5152.5,4076.0
Gujarat,2018-03-29,3222.5,4826.25,4024.25
Gujarat,2018-03-30,4000.0,5075.0,4487.5
Gujarat,2018-03-31,2875.0,4327.5,3550.0
Gujarat,2018-04-01,4440.0,5258.0,4860.0
Gujarat,2018-04-02,3500.0,7016.666666666667,5258.0
Gujarat,2018-04-03,5000.0,7500.0,6275.0
Gujarat,2018-04-04,4225.0,5150.0,4700.0
Gujarat,2018-04-05,1140.7142857142858,1946.4285714285713,1564.2857142857142
Gujarat,2018-04-06,2312.8571428571427,3157.1428571428573,2752.8571428571427
Gujarat,2018-04-07,2856.25,3856.25,3372.9166666666665
Gujarat,2018-04-08,3297.5,3898.214285714286,3621.0714285714284
Gujarat,2018-04-09,2805.0,3605.0,3265.0
Gujarat,2018-04-10,1997.7272727272727,2497.7272727272725,2268.090909090909
Gujarat,2018-04-11,1680.0,2820.0,2270.0
Gujarat,2018-04-13,2497.7272727272725,3406.818181818182,3040.6363636363635
